index,comments,label
341,Kepemimpinan pak Ganjar-Mahfud yang adil dan berintegritas adalah apa yang kita butuhkan.,1
342,"Udah fix ini berarti, bismillah aja deh semoga yg terbaik buat calon pemimpin kita Ganjar Mahfud.",1
343,Alhamdulillah resmi semoga lancar dan sukses Ganjar Mahfud,1
344,Prabowo gibran pasangan terburuk 😂. Penculik dan perusak konstitusi bersatu,0
345,Gaspoll dukung trs Ganjar Mahfud 🔥,1
346,Orang cerdas pilih AMIN,1
347,semoga jadi awal yang baik dan diridhoi Allah bagi Ganjar Mahfud 🙌,1
348,Terima kasih kepada Pak Ganjar dan Pak Mahfud telah berkomitmen untuk membawa Indonesia ke arah yang lebih baik,1
349,Yuk semua dukung Ganjar Mahfud untuk menang 🔥,1
350,Jelas ganjar mahfud yang paling tegas berantas korupsi dan radikalisme,1
351,Semangat pak ganjar mahfud sehat sehat selalu ya,1
352,Bismillah pak Ganjar dan pak Mahfud menang 1 putaran 🔥🔥🔥,1
353,Maju terus pak Ganjar dan pak Mahfud,1
354,"Selamat bersaing dengan sehat dan jujur yaa, sampai detik ini jagoan ku masih pada Ganjar Mahfud 🔥",1
355,semangat untuk paslon Ganjar-Mahfud semoga bisa menanggg,1
356,Akhirnya sdh ada penetapan capres cawapres. Harus lancar jalannya pilpres nanti,1
357,"Pak Ganjar dan Pak Mahfud, kami percaya Anda akan membawa perubahan besar🔥",1
358,Pak ganjar dan pak mahfud pemimpin pilihan rakyat,1
359,Harapan aku banget ya ganjar mahfud pasti akann lebih baik negeri ini,1
360,Ganjar mahfud untuk Indonesia yg lebih baik,1
361,Ganjar-Mahfud paling poll paling cerdas 😍,1
362,Doa dan harapan kita semua kan semoga yg jadi Ganjar Mahfud kalau bisa mah semoga menang 1 putaran mereka berdua,1
363,Resmi juga pasangan idolaku bersatu semoga sukses😍,1
364,All in dukung kemenangan ganjar mahfud di 2024,1
365,yg terbaik selalu untuk paslon Ganjar-Mahfud ya🙏🏻,1
366,"Menangkan Ganjar mahfud supaya ormas radikal tak muncul lagi, perusak konstitusi tak berulah lagi",1
367,yokkk pilih Ganjar-Mahfud kalo kalian ingin sejahtera 😅,1
368,Tetap Anies,1
369,Aku sih tim ganjar mahfud lah terbaik pemimpin tegas,1
370,Tengah yang selalu keren 😍,1
371,Agaknya anies surveynya rendah sekali. Sebaiknya ngak usah memaksakan ikut kompetisi.,1
372,"Fokus pada pak Ganjar dan pak Mahfud,  all in GAMA❤️",1
373,mantapppp pak ganjar&mahfud jauh lebih oke,1
374,"Paling cocok Ganjar Mahfud sih kl menurutku. Udh gt setelah diliat""mereja tuh bagus bgt visi misinya buat bangsa ini",1
375,"Semangat ya buat ketiga capres kali ini, semoga yg menang yg terbaik untuk negeri ini",1
376,Go go ganjar mahfud siap kawal GAMA,1
377,aku milihnya Ganjar-Mahfud! udhhh konsisten ni👏🏻,1
378,Keberanian Ganjar-Mahfud untuk berdiri melawan korupsi patut diacungi jempol,1
379,all in Ganjar Mahfud pokoke 👍🏻,1
380,Ganjar-Mahfud alwaysss! semoga bisa jadii pemimpin,1
381,Suara rakyat full for ganjar mahfud🔥🙌,1
382,Mana nih yg semangat buat memenangkan Ganjar Mahfud juga??yokk sini kumpul kita satukan tekad buat mereka,1
383,resmiii nii semoga kampanye pak ganjar&mahfud lancar,1
384,"Ws ndak usah debat, lek mau nyoblos salah satu lek ndak mau ya ndak usah nyoblos. Atau di coblos kabeh ya oleh ben adil😂",1
385,Kita semua bisa berbangga memiliki calon seperti Ganjar-Mahfud🔥,1
386,Semangat berjuang capres idaman pak Ganjar mahfud,1
387,Yok bisa yok GAMA terdepan nomer satu,1
388,remsi juga akhirnyaaa aaa gak sabar milih pak ganjar,1
389,Selamat Ganjar Mahfud karena skrg kalian udh jd pasangan capres cawapres yg resmi karena udh ditetepkan,1
390,AMIN,1
391,All in ganjar mahfud for presiden indonesia,1
392,"Pak Ganjar dan Pak Mahfud, kami yakin pada visi Anda",1
393,Kira2 dapat nomor urut berapa ya nanti,1
394,hehe dukung konsisten Ganjar-Mahfud karna kinerja oke👍🏻,1
395,"Ohhh udah diresmikan hari ini yak, kirain kubu sebelah yg curang kemaren gak lolos 😁 ternyata lolos juga to",0
396,Siip,1
397,Berapun nomernya semoga nomor keberuntungan untuk pak Ganjar dan pak Mahfud,1
398,sudah saatnya mendukung Ganjar-Mahfud! ayo tunjukannn,1
399,Ayo buzerr Nasbung... Beraksi.. Nanti honor engga turun kalau diem aje,0
400,Jgn pilih yg plonga plongo,1
401,Masi ingat dengan seloga Tronjal tronjol indonesia maju 👏,1
402,Kalian dukung siapa guys??kl aku sih ttp Ganjar Mahfud sampai akhir,1
403,"Ketiga peserta pilpres semoga bisa jujur, pak Ganjar mahfud pasti mujur😍",1
404,BANTENG HARAP BERSABAR 😂😂😂😂,1
405,Orang cerdas sudah pasti pilih yang terbaik ganjar mahfud,1
406,Semoga perjalanan pak Ganjar-Mahfud dalam pemilu 2024 ini penuh berkah dan keberhasilan,1
407,Optimis Ganjar Mahfud yang akan menang🔥,1
408,Go pak Anies dan pak cakmin gooo!!!🙌👏,1
409,"ALL IN PRABOWO, 2024 ANTI BANTENG, APALAGI ANIEZ",1
410,Aamiin....,1
411,Ajma : pemberani pasti liat storiku,1
412,INTINYA GAUSAH PANIK🔥,1
413,"Noted. Bedewei, mak mega pegimane kebatinannya nih? Aman?",1
414,GM,1
415,"insyaAllah pilih semua, biar adil",1
416,Fix KPU alat2nya pakde! Bisa2nya meloloskan paslon cacat hukum prabowo gibran 👎,0
417,yahhh kok Prabowo lolos (walaupun ngga kaget sih),0
418,yg cacat hukum sama moral beneran lolos nih? fix ga netral ni pemilu 2024,0
419,#amin2024,1
420,emang gk punya malu ni gibran jelas2 pamannya bersalah tapi dia ttp gk mundur,0
421,Akhirnya lolos juga😂,1
422,"intinya adalah selama kau anak Presiden, mau sekotor dan serusak apapun langkah mu, kau akan tetap aman",0
423,"wkwkkw ternyata KPU 11 12 yakk sm MK, sama2 bisa diakalin hahah🫣🫣",0
424,❤️❤️❤️❤️❤️,1
425,Tidak sah cawapres yg melanggar konstitusi,0
426,👏👏👏👏👏👏👏 yg ketar ketir minggir dulu😂😂😂😂,1
427,Waahh.. Waah.. kok bisa lolos ya? 😂,0
428,Gak Perlu ribet.. Cukup Berdoa Minta Sama Allah dipilihkan yg terbaik... Ok??,1
429,Aku sih pendukung Redbull KTM.. Tp duet Naruto&Sasuke untuk Konoha 2024-2030 lebih menjanjikan.,1
430,"maap ni bang. cuma mo nanya, jgn digalakin.. mending menang prabowo gibran atau jokowi 3 periode? 😂",1
431,Aman,1
432,Gaseru ah ada d........ Politik🔥😂,0
433,"Anies = Perubahan, Prabowo = Keberlanjutan, Ganjar = Perbo**pan 😂😂",1
434,"Intinya pilihan sekarang hanya tinggal dua, Ganjar atau Anies. Prabowo skip karena pro terhadap pengangkangan MK. baru maju aja udah mengangkangi hukum, gimana kalo jadi nanti?",1
